call,ms,paths,distance,inside
1,1861.7577949999977,240,2.0,false
2,1836.3563649999996,240,1.0,false
3,297.69054799999867,95,1.0,false
4,251.57601499999873,92,2.0,true
5,1957.6430269999983,240,2.001,false
6,278.2454839999991,92,2.001,true
7,209.62609900000098,61,2.0,false
8,13.147650999999314,16,2.0,false
9,13.547999000002164,13,2.0,true
